pais;comentario
Hong Kong;Fix the bug pls
Hong Kong;fb�
India;One of my favourite apps.
Australia;Its good but would be nicer if can update cover photo and if i could turn my cell on the side and the fb app adjusts to that.\n\nAlso, the app is glitching like it use to be. I'm trying to scroll through my newsfeed and it keeps jumping up whenever I stop scrolling. Please sort it out guys. It hasn't been a problem since a few updates ago but now with the recent update its doing the same as before.
South Africa;We hate the new version - where is my contacts list????? Bring it BACK PLEASE!!!!!!!!
United Kingdom;Love it loads �
Australia;Please tell me how to turn it off or fix it if it's a bug the notifications I am getting events near me- I don't care and I'm not alone, one of the forums has at least dozens of app users getting the same issue. Please fix ASAP!!
Australia;Every day I had a challenge to recreate and learn different styles of photography. Thanks for the creat experience.
Australia;This is a tool that has really helped me with weight loss, super convenient and I love the barcode option now.
Australia;I could deal with editing the timeline algorithm. \nBut now my photos I've archived to post later, is gone. What the hell insta.
Australia;Very good good product - the feedback from users about road conditions is terrific. Response from the map edit team outstanding
Canada;I love Facebook more then I should. I can talk with anyone find pages and just have fun. I found one of my sisters on Facebook who was missing.  It honestly i love it. I wish that it'd be more updated on the iPhone but yeah:). But can you please fix the chat? I miss having the chat heads it was so much easier to talk to people with.\nChat heads were awesome and all my friends and I agree they should be brought back!
South Africa;Good
Hong Kong;？
Hong Kong;Update  ，
Singapore;Please fix the connectivity issues as whatsApp is essential. I tried using data and wifi but still unable to connect, Please fix it asap. Thanks
Hong Kong;Haven't used ig for two weeksssss and u are still not fixing the problem wtf!\n\nI cant log in ig since last last thur and i tried reinstall or restart my phone for many times but still cant work\nCan u plz fix it\nI commented for many times\nDid u actually face the problem?
Canada;Depuis la dernière mise à jour , je n'ai plus d'icône qui me permet de voir quand j'ai reçu des messages sur messenger. Dommage car certains messages sont obsolètes quand j'en prends connaissance. Peut-on espérer que ça se règle bientôt.\nMerci
South Africa;AWESOME!!!!!
Canada;When will Ontario Canada get face filters? Follow @toxic_strike
United Kingdom;Keeping track of what I eat used to be hard, not anymore
India;Many bugs have now been fixed. Stability of app is very good. Just one thing that is required is some visual changes. For long the app has same graphics so please give some new graphics.....
Australia;could use with event related road closure info.
India;Whatsapp has to add hide features for secure chat
United Kingdom;Great satnav app
Hong Kong;Update  ， ？
United Kingdom;Great for avoiding traffic if you just believe what it tells you.
Australia;So handy to know what road to take in the event of an accident.
India;App crashes every time user click on notifications..fix this soon
United States;Great app
Canada;Love it :) best photo journal
Australia;Fun, but add being able to remove people from group chats. We added someone and they started spamming so we all had to leave. Please add that. Thanks insta
Singapore;Tried redownloading and still won't open
